Category,Subcategory,Supplier,Brand,Region,Year,Month,Units Month, Values Month 
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,1,11560," $62,800 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,2,10750," $58,360 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,3,11020," $59,840 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,4,11310," $61,400 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,5,13780," $74,870 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,6,13260," $72,050 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,7,11710," $63,620 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,8,12800," $69,500 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,9,9140," $49,640 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,10,11690," $63,460 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,11,9520," $51,710 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,12,13110," $71,200 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,1,9280," $55,560 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,2,11380," $68,140 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,3,10990," $65,840 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,4,11920," $71,430 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,5,10080," $60,330 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,6,9190," $55,050 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,7,9430," $56,520 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,8,7960," $47,700 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,9,9110," $54,500 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,10,9720," $58,230 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,11,7430," $44,480 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,12,8040," $48,180 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,1,8170," $48,950 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,2,7240," $43,390 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,3,10530," $63,090 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,4,8930," $53,510 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,5,7250," $43,460 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,6,8700," $52,140 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,7,7170," $42,940 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,8,7880," $47,160 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,9,7330," $43,910 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,10,8500," $50,920 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,11,7210," $43,200 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2020,12,8770," $52,550 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,1,8950," $53,620 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,2,6990," $41,850 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,3,8110," $48,550 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,4,7240," $43,370 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,5,6700," $40,120 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,6,7310," $43,810 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,7,7390," $44,260 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,8,6720," $40,240 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,9,7110," $42,580 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,10,7480," $44,810 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,11,6100," $36,560 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2021,12,7480," $44,810 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,1,6660," $39,930 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,2,6070," $36,340 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,3,6850," $41,030 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,4,6310," $37,800 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,5,6270," $37,520 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,6,7440," $44,580 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,7,5420," $32,480 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,8,6570," $39,300 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,9,4930," $29,550 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,10,4660," $28,660 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,11,3460," $23,720 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2022,12,2930," $20,120 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,1,4310," $29,790 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,2,5630," $38,970 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2023,3,5660," $39,270 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,1,10910," $59,250 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,2,9650," $52,380 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,3,11350," $61,660 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,4,10870," $59,010 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,5,11990," $65,080 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,6,10610," $57,630 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,7,10900," $59,170 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,8,9390," $50,990 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,9,8860," $48,130 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,North,2018,10,10170," $55,200 "
